#architect_id	architectJa	architectEn	architectJa_cleaned	architectEn_cleaned
130	船クラスター施設・展示設計共同企業体（環境設計研究所・谷口アトリエ・熊井建築設計事務所）	Ship cluster facility and exhibition design joint venture (kankyo sekkei kenkyusho, taniguchi atelier, kumai architects & engineers)	船クラスター施設・展示設計共同企業体（環境設計研究所・谷口アトリエ・熊井建築設計事務所）	SHIP CLUSTER FACILITY AND EXHIBITION DESIGN JOINT VENTURE (KANKYO SEKKEI KENKYUSHO, TANIGUCHI ATELIER, KUMAI ARCHITECTS & ENGINEERS)
131	村田豊建築事務所	Yutaka murata architects & engineers	村田豊建築事務所	YUTAKA MURATA ARCHITECTS & ENGINEERS
132	環境設計研究所|谷口アトリエ|熊井建築設計事務所	Environmental design Associates　 |taniguchi atelier　 |kumai architects	環境設計研究所|谷口アトリエ|熊井建築設計事務所	ENVIRONMENTAL DESIGN ASSOCIATES  |TANIGUCHI ATELIER  |KUMAI ARCHITECTS
134	神谷宏治計画設計事務所	Koji kamiya planning and design office	神谷宏治計画設計事務所	KOJI KAMIYA PLANNING AND DESIGN OFFICE
135	山下和正建築研究所	KAZUMASA YAMASHITA ARCHITECT AND ASSOCIATES	山下和正建築研究所	KAZUMASA YAMASHITA ARCHITECT AND ASSOCIATES
136	白井晟一研究所	Shirai chenichi research institute	白井晟一研究所	SHIRAI CHENICHI RESEARCH INSTITUTE
137	建築計画研究所	Architectural planning institute	建築計画研究所	ARCHITECTURAL PLANNING INSTITUTE
139	AZ Institute|山崎泰孝	Az institute |yasutaka yamazaki	AZ INSTITUTE|山崎泰孝	AZ INSTITUTE |YASUTAKA YAMAZAKI
140	吉村設計事務所	Yoshimura design office	吉村設計事務所	YOSHIMURA DESIGN OFFICE
141	村野藤吾	Togo murano	村野藤吾	TOGO MURANO
145	日本電信電話公社建築	Nippon telegraph and telephone public corporation building	日本電信電話公社建築	NIPPON TELEGRAPH AND TELEPHONE PUBLIC CORPORATION BUILDING
147	仙アートスタヂオ|戸田建設	Sen art studio | toda construction	仙アートスタヂオ|戸田建設	SEN ART STUDIO | TODA CONSTRUCTION
148	相田武文	Takefumi aida	相田武文	TAKEFUMI AIDA
149	岡設計	OKA SEKKEI. ARCHITECTS AND ENGINEERS	岡設計	OKA SEKKEI. ARCHITECTS AND ENGINEERS
152	日建設計	NIKKEN SEKKEI	日建設計	NIKKEN SEKKEI
154	大高建築設計事務所	MASATO ODAKA ARCHITECTS & ASSOCIATES	大高建築設計事務所	MASATO ODAKA ARCHITECTS & ASSOCIATES
156	早稲田大学穂積研究室	Hozumi Laboratory, Waseda University	早稲田大学穂積研究室	HOZUMI LABORATORY, WASEDA UNIVERSITY
157	坂本一成	Kazunari sakamoto	坂本一成	KAZUNARI SAKAMOTO
158	伊東豊雄	TOYO ITO & ASSOCIATES, ARCHITECTS	伊東豊雄	TOYO ITO & ASSOCIATES, ARCHITECTS
160	シーザー・ペリ(グルーエン設計事務所)	Cesar pelli (gruen design office)	シーザー・ペリ(グルーエン設計事務所)	CESAR PELLI (GRUEN DESIGN OFFICE)
161	久米建築事務所	KUME Architects-Engineers	久米建築事務所	KUME ARCHITECTS-ENGINEERS
162	象設計集団	ATELIER ZO	象設計集団	ATELIER ZO
165	池田宮彦設計事務所	Miyahiko ikeda design office	池田宮彦設計事務所	MIYAHIKO IKEDA DESIGN OFFICE
166	神谷宏治計画・設計事務所	Koji kamiya planning & design office	神谷宏治計画・設計事務所	KOJI KAMIYA PLANNING & DESIGN OFFICE
167	日本大学生産工学部神谷研究室	Kamiya laboratory, college of industrial engineering, nihon university	日本大学生産工学部神谷研究室	KAMIYA LABORATORY, COLLEGE OF INDUSTRIAL ENGINEERING, NIHON UNIVERSITY
168	大谷研究室	OTANI KENKYUSHITSU	大谷研究室	OTANI KENKYUSHITSU
170	村野藤吾|大成建設設計部	Togo murano| taisei corporation design department	村野藤吾|大成建設	TOGO MURANO| TAISEI CORPORATION DESIGN DEPARTMENT
171	橋本文隆＋YAS都市研究所	Fumitaka hashimoto + yas urban research institute	橋本文隆＋YAS都市研究所	FUMITAKA HASHIMOTO + YAS URBAN RESEARCH INSTITUTE
172	長谷川逸子	ITSUKO HASEGAWA ATELIER	長谷川逸子	ITSUKO HASEGAWA ATELIER
173	高木滋生建築設計事務所	S. TAKAGI ARCHITECT & ASSOCIATES	高木滋生建築設計事務所	S. TAKAGI ARCHITECT & ASSOCIATES
176	SDAスペースデザインアソシエート	Sda space design associate	SDAスペースデザインアソシエート	SDA SPACE DESIGN ASSOCIATE
177	ALP設計室	Alp design office	ALP設計室	ALP DESIGN OFFICE
178	武基雄＋武建築設計研究所	Motoo take + take architects & engineers, inc.	武基雄＋武建築設計研究所	MOTOO TAKE + TAKE ARCHITECTS & ENGINEERS, INC.
180	高須賀晋	Susumu Takasuga	高須賀晋	SUSUMU TAKASUGA
181	出江寛	KAN IZUE ARCHITECT & ASSOCIATES	出江寛	KAN IZUE ARCHITECT & ASSOCIATES
184	相田武文設計研究所	TAKEFUMI AIDA ARCHITECT & ASSOCIATES	相田武文設計研究所	TAKEFUMI AIDA ARCHITECT & ASSOCIATES
185	樹生(JUNA)	Juna	樹生(JUNA)	JUNA
186	木下建築設計事務所	Kinoshita architects & engineers, inc.	木下建築設計事務所	KINOSHITA ARCHITECTS & ENGINEERS, INC.
187	瀧光夫	MITSUO TAKI	瀧光夫	MITSUO TAKI
188	坂倉竹之助	TAKENOSUKE SAKAKURA	坂倉竹之助	TAKENOSUKE SAKAKURA
189	大阪府企業局	Osaka prefectural enterprise bureau	大阪府企業局	OSAKA PREFECTURAL ENTERPRISE BUREAU
190	香川県土木部建築課	Building division, department of public works, kagawa prefectural government	香川県土木部建築課	BUILDING DIVISION, DEPARTMENT OF PUBLIC WORKS, KAGAWA PREFECTURAL GOVERNMENT
191	毛利建築設計事務所	Mori architectural design office	毛利建築設計事務所	MORI ARCHITECTURAL DESIGN OFFICE
192	遠藤剛生建築設計事務所	TAKAO ENDO ARCHITECT OFFICE	遠藤剛生建築設計事務所	TAKAO ENDO ARCHITECT OFFICE
194	コンコード建築設計事務所	Concord architects & engineers, inc.	コンコード建築設計事務所	CONCORD ARCHITECTS & ENGINEERS, INC.
195	前川國男建築設計事務所	Kunio Maekawa Architects & Engineers	前川國男建築設計事務所	KUNIO MAEKAWA ARCHITECTS & ENGINEERS
196	川崎清＋環境・建築研究所	KIYOSHI KAWASAKI+Design Institute of Landscape & Architecture	川崎清＋環境・建築研究所	KIYOSHI KAWASAKI+DESIGN INSTITUTE OF LANDSCAPE & ARCHITECTURE
205	丹下健三＋都市・建築設計研究所	KENZO TANGE ASSOCIATES	丹下健三＋都市・建築設計研究所	KENZO TANGE ASSOCIATES
223	創和設計	Souwa design	創和設計	SOUWA DESIGN
225	野沢正光建築工房	MASAMITSU NOZAWA BUILDING WORKSHOP	野沢正光建築工房	MASAMITSU NOZAWA BUILDING WORKSHOP
226	三輪正弘環境造形研究所	Masahiro miwa environmental design institute	三輪正弘環境造形研究所	MASAHIRO MIWA ENVIRONMENTAL DESIGN INSTITUTE
227	佐藤武夫設計事務所	SATOW Architects & Engineers	佐藤武夫設計事務所	SATOW ARCHITECTS & ENGINEERS
229	彦谷建築設計事務所	Hikotani architects & engineers, inc.	彦谷建築設計事務所	HIKOTANI ARCHITECTS & ENGINEERS, INC.
233	計画・設計工房	Planning and Design Studio	計画・設計工房	PLANNING AND DESIGN STUDIO
237	鬼頭梓建築設計事務所	Azusa Kito Architect & Associates	鬼頭梓建築設計事務所	AZUSA KITO ARCHITECT & ASSOCIATES
238	パンデコン建築設計研究所	PANDECON INSTITUTE OF ARCHITECTURE	パンデコン建築設計研究所	PANDECON INSTITUTE OF ARCHITECTURE
240	小林美夫＋アトリエ・K|日本綜合建築事務所	Yoshio kobayashi + atelier k　|japan integrated architectural office	小林美夫＋アトリエ・K|日本綜合建築事務所	YOSHIO KOBAYASHI + ATELIER K |JAPAN INTEGRATED ARCHITECTURAL OFFICE
242	松田平田坂本設計事務所	MATSUDA HIRATA SAKAMOTO Architects/Planners/Engineers	松田平田坂本設計事務所	MATSUDA HIRATA SAKAMOTO ARCHITECTS/PLANNERS/ENGINEERS
247	現代計画研究所	GENDAI KEIKAKU ARCHITECTURAL & PLANNING OFFICE	現代計画研究所	GENDAI KEIKAKU ARCHITECTURAL & PLANNING OFFICE
250	石本建築事務所	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM	石本建築事務所	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM
251	教育施設研究所・文部省工営課・岡野真	Institute for educational facilities research, ministry of education, engineering division, makoto okano	教育施設研究所・文部省工営課・岡野真	INSTITUTE FOR EDUCATIONAL FACILITIES RESEARCH, MINISTRY OF EDUCATION, ENGINEERING DIVISION, MAKOTO OKANO
253	杉建築設計事務所	Sugi architectural design office	杉建築設計事務所	SUGI ARCHITECTURAL DESIGN OFFICE
255	日本大学生産工学部宗研究室|千代田建築研究所	So laboratory, college of industrial engineering, nihon university | chiyoda architectural institute	日本大学生産工学部宗研究室|千代田建築研究所	SO LABORATORY, COLLEGE OF INDUSTRIAL ENGINEERING, NIHON UNIVERSITY | CHIYODA ARCHITECTURAL INSTITUTE
256	黒川哲郎|臼田哲男	Tetsuro kurokawa | tetsuo usuda	黒川哲郎|臼田哲男	TETSURO KUROKAWA | TETSUO USUDA
258	坂倉建築研究所	SAKAKURA ASSOCIATES	坂倉建築研究所	SAKAKURA ASSOCIATES
261	宮脇檀建築研究室	MAYUMI MIYAWAKI ARCHITECT AND ASSOCIATES	宮脇檀建築研究室	MAYUMI MIYAWAKI ARCHITECT AND ASSOCIATES
263	中村一・瀧光夫	Hajime nakamura, mitsuo taki	中村一・瀧光夫	HAJIME NAKAMURA, MITSUO TAKI
265	独楽蔵	KOMAGURA	独楽蔵	KOMAGURA
266	渡辺武信設計室	TAKENOBU WATANABE ARCHITECT AND ASSOCIATES	渡辺武信設計室	TAKENOBU WATANABE ARCHITECT AND ASSOCIATES
268	GRUPPE･KEN	GRUPPE, KEN	GRUPPE･KEN	GRUPPE, KEN
270	渡辺豊和建築工房	TOYOKAZU WATANABE ARCHITECT AND ASSOCIATES	渡辺豊和建築工房	TOYOKAZU WATANABE ARCHITECT AND ASSOCIATES
271	アトリエR	Atelier R	アトリエR	ATELIER R
272	清家清|デザインシステム	Kiyoshi seike | design system	清家清|デザインシステム	KIYOSHI SEIKE | DESIGN SYSTEM
275	アトリエ515A	Atelier 515a	アトリエ515A	ATELIER 515A
278	竹山実建築綜合研究所	MINORU TAKEYAMA Architect & U/A	竹山実建築綜合研究所	MINORU TAKEYAMA ARCHITECT & U/A
280	東孝光建築研究所	Takamitsu Azuma Architects & Engineers	東孝光建築研究所	TAKAMITSU AZUMA ARCHITECTS & ENGINEERS
282	林・山田・中原設計同人	Hayashi, yamada & nakahara design doujin	林・山田・中原設計同人	HAYASHI, YAMADA & NAKAHARA DESIGN DOUJIN
285	石井和紘建築研究所	KAZUHIRO ISII ARCHITECT & ASSOCIATES	石井和紘建築研究所	KAZUHIRO ISII ARCHITECT & ASSOCIATES
288	谷口吉郎	Yoshiro taniguchi	谷口吉郎	YOSHIRO TANIGUCHI
289	村野・森建築事務所	T. MURANO & MORI ASSOCIATED ARCHITECTS OFFICE	村野・森建築事務所	T. MURANO & MORI ASSOCIATED ARCHITECTS OFFICE
290	前川國男建築設計事務所|横山建築構造設計事務所	Kunio maekawa architects | yokoyama architects & engineers	前川國男建築設計事務所|横山建築構造設計事務所	KUNIO MAEKAWA ARCHITECTS | YOKOYAMA ARCHITECTS & ENGINEERS
291	京都市住宅局営繕課・設備部|川崎清＋建築研究協会	Kyoto city housing bureau, repair division and facilities department | kiyoshi kawasaki + building research institute	京都市住宅局営繕課・設備部|川崎清＋建築研究協会	KYOTO CITY HOUSING BUREAU, REPAIR DIVISION AND FACILITIES DEPARTMENT | KIYOSHI KAWASAKI + BUILDING RESEARCH INSTITUTE
293	AZ institute・環境計画研究所	Az institute & environmental planning institute	AZ INSTITUTE・環境計画研究所	AZ INSTITUTE & ENVIRONMENTAL PLANNING INSTITUTE
295	矢向建築事務所	Yamata architects office	矢向建築事務所	YAMATA ARCHITECTS OFFICE
296	山本公也|日本総合建築事務所|S.D.G.システムディベロッピンググループ	Kimiya yamamoto | japan sogo architectural office | s.d.g. system developing group	山本公也|日本総合建築事務所|S.D.G.システムディベロッピンググループ	KIMIYA YAMAMOTO | JAPAN SOGO ARCHITECTURAL OFFICE | S.D.G. SYSTEM DEVELOPING GROUP
297	安東勝男＋建築計画連合	Katsuo ando + architectural planning union	安東勝男＋建築計画連合	KATSUO ANDO + ARCHITECTURAL PLANNING UNION
298	第一工房	DAIICHI-KOBO ASSOCIATES	第一工房	DAIICHI-KOBO ASSOCIATES
299	富家建築事務所	Tomiya architects office	富家建築事務所	TOMIYA ARCHITECTS OFFICE
304	清家清	clear and serene (as a polished mirror and still water)	清家清	CLEAR AND SERENE (AS A POLISHED MIRROR AND STILL WATER)
306	国建設計工務	National construction accountant	国建設計工務	NATIONAL CONSTRUCTION ACCOUNTANT
307	西野善介建築研究室	Yoshisuke nishino architecture laboratory	西野善介建築研究室	YOSHISUKE NISHINO ARCHITECTURE LABORATORY
309	戸田建設	TODA CORPORATION	戸田建設	TODA CORPORATION
310	土岐新・建築総合計画事務所	Toki shin & architectural planning office	土岐新・建築総合計画事務所	TOKI SHIN & ARCHITECTURAL PLANNING OFFICE
311	戸尾任宏／建築研究所アーキヴィジョン	Nobuhiro too / architectural institute archi-vision	戸尾任宏／建築研究所アーキヴィジョン	NOBUHIRO TOO / ARCHITECTURAL INSTITUTE ARCHI-VISION
316	AZ institute PLUS計画設計事務所	AZ institute, PLUS PLAN Design	AZ INSTITUTE PLUS計画設計事務所	AZ INSTITUTE, PLUS PLAN DESIGN
